ubigeo,lat,lon,mita,cusco,border,dell_d_bnd,dell_signed,elevation,slope,bfe4_1,bfe4_2,bfe4_3,stunted,n_children
30705,14.229439735412598,72.58611297607422,1,0,0,48.320228576660156,48.320228576660156,3.96077,8.27102,1,0,0,0.5057471264367817,87
30706,14.104720115661621,72.61250305175781,1,0,0,37.05017852783203,37.05017852783203,3.98278,7.25733,0,0,1,0.27631578947368424,76
30707,14.175000190734863,72.67388916015625,1,0,0,44.155670166015625,44.155670166015625,4.35246,5.4958,0,0,1,0.5739130434782609,115
30708,14.072500228881836,72.4727783203125,1,0,0,31.083919525146484,31.083919525146484,4.20217,6.28637,0,0,1,0.5275080906148867,309
30709,14.164719581604004,72.62110900878906,1,0,0,43.4704475402832,43.4704475402832,3.68086,10.9371,0,0,1,0.5135135135135135,37
30710,14.149999618530273,72.666656494140625,1,0,0,41.415199279785156,41.415199279785156,3.70342,11.2385,0,0,1,0.449438202247191,89
30711,14.219169616699219,72.62389373779297,1,0,0,48.30910110473633,48.30910110473633,3.93027,10.0752,1,0,0,0.2894736842105263,76
30712,14.075559616088867,72.6258316040039,1,0,0,33.637718200683594,33.637718200683594,3.27144,12.5347,0,0,1,0.16883116883116883,77
30713,14.249719619750977,72.67973327636719,1,0,0,43.93492126464844,43.93492126464844,4.49127,5.1548,1,0,0,0.512396694214876,121
30714,14.016670227050781,72.5666732788086,1,0,0,27.36688995361328,27.36688995361328,3.93368,7.82122,0,0,1,0.5925925925925926,162
40306,15.506110191345215,73.479156494140625,0,0,1,13.498820304870605,-13.498820304870605,3.30907,5.51592,1,0,0,0.373134328358209,67
40402,15.49860954284668,72.35527801513672,0,0,0,72.79056549072266,-72.79056549072266,4.19181,7.82211,0,1,0,0.3597122302158273,139
40403,15.681670188903809,72.274169921875,0,0,0,81.940826416015625,-81.940826416015625,3.29741,17.1728,0,1,0,0.0588235294117647,17
40404,15.50139045715332,72.26917266845703,0,0,0,66.20667266845703,-66.20667266845703,4.71304,4.50573,0,1,0,0.4,150
40405,15.279999732971191,72.37000274658203,0,0,0,49.608680725097656,-49.608680725097656,4.01252,5.55687,1,0,0,0.43037974683544306,79
40406,15.575559616088867,72.12999725341797,0,0,0,63.71352005004883,-63.71352005004883,4.34746,9.17372,0,1,0,0.45588235294117646,68
40408,15.64861011505127,72.5058364868164,0,0,0,79.88417053222656,-79.88417053222656,4.13079,9.46599,1,0,0,0.02040816326530612,49
40409,15.26611042022705,72.34166717529297,0,0,0,47.82423782348633,-47.82423782348633,4.55778,4.57877,1,0,0,0.20820668693009117,658
40410,15.71306037902832,72.57417297363281,0,0,0,78.25006103515625,-78.25006103515625,3.94063,9.15561,1,0,0,0.18397626112759644,337
40411,15.722220420837402,72.50305938720703,0,0,0,85.01549530029297,-85.01549530029297,2.36486,12.32,1,0,0,0.0425531914893617,47
40412,15.729439735412598,72.42973327636719,0,0,0,91.993133544921875,-91.993133544921875,2.90883,16.6784,1,0,0,0.07692307692307693,13
40414,15.656940460205078,72.52528381347656,0,0,0,79.06813049316406,-79.06813049316406,4.23099,11.2151,1,0,0,0.171875,128
40501,15.638330459594727,71.60111236572266,0,0,0,51.6066780090332,-51.6066780090332,4.49474,7.7684,0,1,0,0.2370617696160267,599
40502,15.660829544067383,71.70084381103516,0,0,0,57.71149826049805,-57.71149826049805,4.39391,5.52436,0,1,0,0.21782178217821785,101
40503,15.621390342712402,71.97888946533203,0,0,0,62.30514907836914,-62.30514907836914,4.19083,10.0366,0,1,0,0.2328767123287671,219
